Name of Player,Country Code,Discipline,Latitude,Longitude
SHAN Xiaona,GERMANY,Table Tennis,51.165691,10.451526
SHANA Md Ruman,BANGLADESH,Archery,23.684994,90.356331
SHANAHAN Louise,IRELAND,Athletics,53.41291,-8.24389
SHANER William,UNITED STATES OF AMERICA,Shooting,-22.95764,18.49041
SHANGE Lebogang,SOUTH AFRICA,Athletics,-30.559482,22.937506
SHANNON Olivia,NEW ZEALAND,Hockey,-40.900557,174.885971
SHANNY Itay,ISRAEL,Archery,31.046051,34.851612
SHAO Jieni,PORTUGAL,Table Tennis,39.399872,-8.224454
SHAO Ting,PEOPLE'S REPUBLIC OF CHINA,Basketball,-22.95764,18.49041
SHAO Yaqi,PEOPLE'S REPUBLIC OF CHINA,Fencing,-22.95764,18.49041
SHAPIEV Javrail,UZBEKISTAN,Wrestling,41.377491,64.585262
SHAPIRA Omer,ISRAEL,Cycling Road,31.046051,34.851612
SHARAF Jayda,EGYPT,Artistic Swimming,26.820553,30.802498
SHARAF Zeina,EGYPT,Artistic Gymnastics,26.820553,30.802498
SHARAKOVA Tatsiana,BELARUS,Cycling Track,53.709807,27.953389
SHARIFI Morteza,ISLAMIC REPUBLIC OF IRAN,Volleyball,-22.95764,18.49041
SHARIFOV Sharif,AZERBAIJAN,Wrestling,40.143105,47.576927
SHARIR Gili,ISRAEL,Judo,31.046051,34.851612
SHARMA Nilakanta,INDIA,Hockey,20.593684,78.96288
SHAROV Stanislav,ROC,3x3 Basketball,-22.95764,18.49041
SHARP Alena,CANADA,Golf,56.130366,-106.346771
SHARP Lachlan Thomas,AUSTRALIA,Hockey,-25.274398,133.775136
SHARPE Matthew,CANADA,Triathlon,56.130366,-106.346771
SHARRAH Corben,UNITED STATES OF AMERICA,Cycling BMX Racing,-22.95764,18.49041
SHARSHENBEKOV Zholaman,KYRGYZSTAN,Wrestling,41.20438,74.766098
SHATILOV Alexander,ISRAEL,Artistic Gymnastics,31.046051,34.851612
SHATIRISHVILI Sopo,GEORGIA,Athletics,42.315407,43.356892
SHAVDATUASHVILI Lasha,GEORGIA,Judo,42.315407,43.356892
SHCHERBATSEVICH Yury,BELARUS,Shooting,53.709807,27.953389
SHEA Maggie,UNITED STATES OF AMERICA,Sailing,-22.95764,18.49041
SHEBIB Mohamed,EGYPT,Handball,26.820553,30.802498
SHEEHAN Miriam,PUERTO RICO,Swimming,18.220833,-66.590149
SHEIKHALIZADEHKHANGHAH Mariam,AZERBAIJAN,Swimming,40.143105,47.576927
SHEIKO Georgiy,KAZAKHSTAN,Athletics,48.019573,66.923684
SHEK Wai Hung,"HONG KONG, CHINA",Artistic Gymnastics,-22.95764,18.49041
SHEMBEREV Maksym,AZERBAIJAN,Swimming,40.143105,47.576927
SHEN Yineng,PEOPLE'S REPUBLIC OF CHINA,Water Polo,-22.95764,18.49041
SHENG Lihao,PEOPLE'S REPUBLIC OF CHINA,Shooting,-22.95764,18.49041
SHEPHERD Caleb,NEW ZEALAND,Rowing,-40.900557,174.885971
SHERAZADISHVILI Nikoloz,SPAIN,Judo,40.463667,-3.74922
SHERIDAN Kailen,CANADA,Football,56.130366,-106.346771
SHERIF Maiar,EGYPT,Tennis,26.820553,30.802498
SHERIF Seif,EGYPT,Trampoline Gymnastics,26.820553,30.802498
SHERMETOVA Kristina,TURKMENISTAN,Weightlifting,38.969719,59.556278
SHESTAKOVA Daria,ROC,Rugby Sevens,-22.95764,18.49041
SHETTY Chirag,INDIA,Badminton,20.593684,78.96288
SHEVCHUK Hanna,UKRAINE,Athletics,48.379433,31.16558
SHEVELEVA Svetlana,ROC,Fencing,-22.95764,18.49041
SHEVTSOV Serhii,UKRAINE,Swimming,48.379433,31.16558
SHI Gaofeng,PEOPLE'S REPUBLIC OF CHINA,Fencing,-22.95764,18.49041
SHI Liying,PEOPLE'S REPUBLIC OF CHINA,Athletics,-22.95764,18.49041
SHI Mengyao,PEOPLE'S REPUBLIC OF CHINA,Shooting,-22.95764,18.49041
SHI Tingmao,PEOPLE'S REPUBLIC OF CHINA,Diving,-22.95764,18.49041
SHI Yu Qi,PEOPLE'S REPUBLIC OF CHINA,Badminton,-22.95764,18.49041
SHI Zhiyong,PEOPLE'S REPUBLIC OF CHINA,Weightlifting,-22.95764,18.49041
SHIBAHARA Ena,JAPAN,Tennis,36.204824,138.252924
SHIDA Leni,UGANDA,Athletics,1.373333,32.290275
SHIELDS Nicole,NEW ZEALAND,Cycling Track,-40.900557,174.885971
SHIELDS Tom,UNITED STATES OF AMERICA,Swimming,-22.95764,18.49041
SHIGA Mitsuaki,JAPAN,Water Polo,36.204824,138.252924
SHIKINE Takahiro,JAPAN,Fencing,36.204824,138.252924
SHIM Jungsub,REPUBLIC OF KOREA,Athletics,-22.95764,18.49041
SHIMAMURA Haruyo,JAPAN,Volleyball,36.204824,138.252924
SHIMAMURA Tomohiro,JAPAN,Fencing,36.204824,138.252924
SHIMAZU Rena,JAPAN,Modern Pentathlon,36.204824,138.252924
SHIMIZU Kiyou,JAPAN,Karate,36.204824,138.252924
SHIMIZU Kunihiro,JAPAN,Volleyball,36.204824,138.252924
SHIMIZU Mayu,JAPAN,Rugby Sevens,36.204824,138.252924
SHIMIZU Risa,JAPAN,Football,36.204824,138.252924
SHIMIZU Yusuke,JAPAN,Water Polo,36.204824,138.252924
SHIN Jeahwan,REPUBLIC OF KOREA,Artistic Gymnastics,-22.95764,18.49041
SHIN Jihyun,REPUBLIC OF KOREA,Basketball,-22.95764,18.49041
SHIN Seungchan,REPUBLIC OF KOREA,Badminton,-22.95764,18.49041
SHIN Yubin,REPUBLIC OF KOREA,Table Tennis,-22.95764,18.49041
SHINOZAKI Mio,JAPAN,3x3 Basketball,36.204824,138.252924
SHIOJIRI Kazuya,JAPAN,Athletics,36.204824,138.252924
SHIOKOSHI Yuzuho,JAPAN,Football,36.204824,138.252924
SHIOTA Sayo,JAPAN,Handball,36.204824,138.252924
SHIOYA Minami,JAPAN,Water Polo,36.204824,138.252924
SHIPPERLEY Rupert Scott,GREAT BRITAIN,Hockey,-22.95764,18.49041
SHIRAI Sora,JAPAN,Skateboarding,36.204824,138.252924
SHIRAKO Miyu,JAPAN,Rugby Sevens,36.204824,138.252924
SHIRATORI Katsuhiro,JAPAN,Beach Volleyball,36.204824,138.252924
SHIROYAMA Shoutarou,JAPAN,Athletics,36.204824,138.252924
SHISHKINA Alla,ROC,Artistic Swimming,-22.95764,18.49041
SHKATOVA Angelina,ROC,Rhythmic Gymnastics,-22.95764,18.49041
SHKURDAI Anastasiya,BELARUS,Swimming,53.709807,27.953389
SHKURENYOV Ilya,ROC,Athletics,-22.95764,18.49041
SHLEIKHER Nikita,ROC,Diving,-22.95764,18.49041
SHMAILOV Baruch,ISRAEL,Judo,31.046051,34.851612
SHMELEVA Daria,ROC,Cycling Track,-22.95764,18.49041
SHMIDER Alexey,KAZAKHSTAN,Water Polo,48.019573,66.923684
SHOJI Erik,UNITED STATES OF AMERICA,Volleyball,-22.95764,18.49041
SHOMURADOVA Nilufar,UZBEKISTAN,Rhythmic Gymnastics,41.377491,64.585262
SHORTEN Rebecca,GREAT BRITAIN,Rowing,-22.95764,18.49041
SHORTMAN Kate,GREAT BRITAIN,Artistic Swimming,-22.95764,18.49041
SHOSTAK Aliaksei,UNITED STATES OF AMERICA,Trampoline Gymnastics,-22.95764,18.49041
SHRIEVER Bethany,GREAT BRITAIN,Cycling BMX Racing,-22.95764,18.49041
SHUBENKOV Sergey,ROC,Athletics,-22.95764,18.49041
SHUEB Wael,REFUGEE OLYMPIC TEAM,Karate,-22.95764,18.49041
SHUEY Michael,UNITED STATES OF AMERICA,Athletics,-22.95764,18.49041
SHUMIK Viktor,UKRAINE,Athletics,48.379433,31.16558
SHUROCHKINA Maria,ROC,Artistic Swimming,-22.95764,18.49041
SHUVALOVA Maria,ROC,Equestrian,-22.95764,18.49041
SHVEDOV Stanislav,KAZAKHSTAN,Water Polo,48.019573,66.923684
SHVEDOVA Yaroslava,KAZAKHSTAN,Tennis,48.019573,66.923684
